/home/tape_api/start-gw.sh: line 6: export: `BASH_FUNC_which%%=() {  ( alias;': not a valid identifier
INFO:     127.0.0.1:36326 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:36328 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:36320 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:60798 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:60828 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:60812 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:43046 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:43054 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:43068 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:39272 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:39294 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:39280 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:41048 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:41054 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:41056 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:33780 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:33796 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
